# Time	Flux
4.4908200000e+07 9.4755040548e+00
4.4910000000e+07 9.4522647026e+00
4.4911800000e+07 9.4554454830e+00
4.4913600000e+07 9.4613567896e+00
4.4915400000e+07 9.4603155333e+00
4.4917200000e+07 9.4566803128e+00
4.4919000000e+07 9.4518954462e+00
4.4920800000e+07 9.4347554577e+00
4.4922600000e+07 9.4206936206e+00
4.4924400000e+07 9.4251034851e+00
4.4926200000e+07 9.4473726300e+00
4.4928000000e+07 9.4610580781e+00
4.4929800000e+07 9.4826042781e+00
4.4931600000e+07 9.5022202869e+00
4.4933400000e+07 9.4814086291e+00
4.4935200000e+07 9.4818822129e+00
4.4937000000e+07 9.5099583560e+00
4.4938800000e+07 9.5342743097e+00
4.4940600000e+07 9.5391291850e+00
4.4942400000e+07 9.5306056629e+00
4.4944200000e+07 9.5357659129e+00
4.4946000000e+07 9.5113765275e+00
4.4947800000e+07 9.4906351780e+00
4.4949600000e+07 9.5111966687e+00
4.4951400000e+07 9.5249864590e+00
4.4953200000e+07 9.5404300317e+00
4.4955000000e+07 9.5644484160e+00
4.4956800000e+07 9.5809701737e+00
4.4958600000e+07 9.5837858655e+00
4.4960400000e+07 9.5741387244e+00
4.4962200000e+07 9.5452279115e+00
4.4964000000e+07 9.5556362297e+00
4.4965800000e+07 9.5270129147e+00
4.4967600000e+07 9.5135724578e+00
4.4969400000e+07 9.5073280367e+00
4.4971200000e+07 9.4900402983e+00
4.4973000000e+07 9.4880552894e+00
4.4974800000e+07 9.4879785498e+00
4.4976600000e+07 9.4993931381e+00
4.4978400000e+07 9.5014357226e+00
4.4980200000e+07 9.4829915724e+00
4.4982000000e+07 9.4904143427e+00
4.4983800000e+07 9.4926278579e+00
4.4985600000e+07 9.4699547916e+00
4.4987400000e+07 9.4747071988e+00
4.4989200000e+07 9.4894749537e+00
4.4991000000e+07 9.5238353372e+00
4.4992800000e+07 9.5398343119e+00
4.4994600000e+07 9.5390962256e+00
4.4996400000e+07 9.5342297263e+00
4.4998200000e+07 9.5391348592e+00
4.5000000000e+07 9.5474201745e+00
4.5001800000e+07 9.5644570023e+00
4.5003600000e+07 9.5710730379e+00
4.5005400000e+07 9.5838029607e+00
4.5007200000e+07 9.5791266666e+00
4.5009000000e+07 9.5708448100e+00
4.5010800000e+07 9.5658290403e+00
4.5012600000e+07 9.5528598752e+00
4.5014400000e+07 9.5359322377e+00
4.5016200000e+07 9.5113499564e+00
4.5018000000e+07 9.4879192123e+00
4.5019800000e+07 9.4851172071e+00
4.5021600000e+07 9.4895741051e+00
4.5023400000e+07 9.5104138069e+00
4.5025200000e+07 9.5274135075e+00
4.5027000000e+07 9.5437290076e+00
4.5028800000e+07 9.5446672676e+00
4.5030600000e+07 9.5009730087e+00
4.5032400000e+07 9.5048432341e+00
4.5034200000e+07 9.5078551383e+00
4.5036000000e+07 9.5213834729e+00
4.5037800000e+07 9.5474350047e+00
4.5039600000e+07 9.5640373858e+00
4.5041400000e+07 9.5680620115e+00
4.5043200000e+07 9.5780373290e+00
4.5045000000e+07 9.5430453998e+00
4.5046800000e+07 9.5293161221e+00
4.5048600000e+07 9.5289203246e+00
4.5050400000e+07 9.5185486302e+00
4.5052200000e+07 9.5415673953e+00
4.5054000000e+07 9.5598821685e+00
4.5055800000e+07 9.5592255693e+00
4.5057600000e+07 9.5584809497e+00
4.5059400000e+07 9.5711951474e+00
4.5061200000e+07 9.5564284186e+00
4.5063000000e+07 9.5523658692e+00
4.5064800000e+07 9.5484122217e+00
4.5066600000e+07 9.5461542420e+00
4.5068400000e+07 9.5264287573e+00
4.5070200000e+07 9.5265211601e+00
4.5072000000e+07 9.5181716505e+00
4.5073800000e+07 9.5177705752e+00
4.5075600000e+07 9.5336073079e+00
4.5077400000e+07 9.5181106691e+00
4.5079200000e+07 9.5086247822e+00
4.5081000000e+07 9.4907746440e+00
4.5082800000e+07 9.4556741369e+00
4.5084600000e+07 9.4402940201e+00
4.5086400000e+07 9.4335833305e+00
4.5088200000e+07 9.4233838588e+00
4.5090000000e+07 9.4289479357e+00
4.5091800000e+07 9.4319003789e+00
4.5093600000e+07 9.4222968614e+00
4.5095400000e+07 9.4267461525e+00
4.5097200000e+07 9.4412790827e+00
4.5099000000e+07 9.4451019535e+00
4.5100800000e+07 9.4403595270e+00
4.5102600000e+07 9.4347574714e+00
4.5104400000e+07 9.4308337242e+00
4.5106200000e+07 9.4061949777e+00
4.5108000000e+07 9.4185785036e+00
4.5109800000e+07 9.3976735151e+00
4.5111600000e+07 9.4124209582e+00
4.5113400000e+07 9.4304270863e+00
4.5115200000e+07 9.4526460459e+00
4.5117000000e+07 9.4546236688e+00
4.5118800000e+07 9.4159680730e+00
4.5120600000e+07 9.4121312283e+00
4.5122400000e+07 9.4197573396e+00
4.5124200000e+07 9.4291563328e+00
4.5126000000e+07 9.4380262596e+00
4.5127800000e+07 9.4797768973e+00
4.5129600000e+07 9.5185561479e+00
4.5131400000e+07 9.5516267753e+00
4.5133200000e+07 9.5421855276e+00
4.5135000000e+07 9.5269870214e+00
4.5136800000e+07 9.5058977367e+00
4.5138600000e+07 9.5020344544e+00
4.5140400000e+07 9.5178441215e+00
4.5142200000e+07 9.4937905240e+00
4.5144000000e+07 9.4801639543e+00
4.5145800000e+07 9.5060743561e+00
4.5147600000e+07 9.5564301942e+00
4.5149400000e+07 9.5574861092e+00
4.5151200000e+07 9.5358345755e+00
4.5153000000e+07 9.5514984437e+00
4.5154800000e+07 9.5383100661e+00
4.5156600000e+07 9.5137471699e+00
4.5158400000e+07 9.5164106185e+00
4.5160200000e+07 9.5198610782e+00
4.5162000000e+07 9.5347070614e+00
4.5163800000e+07 9.5367122311e+00
4.5165600000e+07 9.5587376802e+00
4.5167400000e+07 9.5577004146e+00
4.5169200000e+07 9.5508143672e+00
4.5171000000e+07 9.5704478062e+00
4.5172800000e+07 9.5702525832e+00
4.5174600000e+07 9.5778952688e+00
4.5176400000e+07 9.5787306165e+00
4.5178200000e+07 9.5583282133e+00
4.5180000000e+07 9.5423073398e+00
4.5181800000e+07 9.5425390462e+00
4.5183600000e+07 9.5302149812e+00
4.5185400000e+07 9.5320547264e+00
4.5187200000e+07 9.5132312869e+00
4.5189000000e+07 9.4814134717e+00
4.5190800000e+07 9.4712992721e+00
4.5192600000e+07 9.4515090988e+00
4.5194400000e+07 9.4312272881e+00
4.5196200000e+07 9.4265460944e+00
4.5198000000e+07 9.4138140054e+00
4.5199800000e+07 9.3935310060e+00
4.5201600000e+07 9.3910827260e+00
4.5203400000e+07 9.4077829433e+00
4.5205200000e+07 9.4121129705e+00
4.5207000000e+07 9.4146009857e+00
4.5208800000e+07 9.4302037416e+00
4.5210600000e+07 9.4215543695e+00
4.5212400000e+07 9.4265969089e+00
4.5214200000e+07 9.4601147350e+00
4.5216000000e+07 9.4631922200e+00
4.5217800000e+07 9.4622417768e+00
4.5219600000e+07 9.4915917226e+00
4.5221400000e+07 9.5254410850e+00
4.5223200000e+07 9.5277310881e+00
4.5225000000e+07 9.5588566927e+00
4.5226800000e+07 9.5995591721e+00
4.5228600000e+07 9.5983794258e+00
4.5230400000e+07 9.6002837140e+00
4.5232200000e+07 9.6222994406e+00
4.5234000000e+07 9.6308736349e+00
4.5235800000e+07 9.6292233478e+00
4.5237600000e+07 9.6204197981e+00
4.5239400000e+07 9.5985688020e+00
4.5241200000e+07 9.6022381828e+00
4.5243000000e+07 9.6169340860e+00
4.5244800000e+07 9.6445140570e+00
4.5246600000e+07 9.6444165988e+00
4.5248400000e+07 9.6601930913e+00
4.5250200000e+07 9.6396516880e+00
4.5252000000e+07 9.6074822890e+00
4.5253800000e+07 9.5962284915e+00
4.5255600000e+07 9.5848652192e+00
4.5257400000e+07 9.5848552616e+00
4.5259200000e+07 9.5748273109e+00
4.5261000000e+07 9.5635170970e+00
4.5262800000e+07 9.5761195248e+00
4.5264600000e+07 9.5886940979e+00
4.5266400000e+07 9.5928220759e+00
4.5268200000e+07 9.6204473915e+00
4.5270000000e+07 9.6293469770e+00
4.5271800000e+07 9.6651307540e+00
4.5273600000e+07 9.6546731326e+00
4.5275400000e+07 9.6496975743e+00
4.5277200000e+07 9.6263933202e+00
4.5279000000e+07 9.6337841317e+00
4.5280800000e+07 9.6310108977e+00
4.5282600000e+07 9.6263155638e+00
4.5284400000e+07 9.6267949468e+00
4.5286200000e+07 9.6278980434e+00
4.5288000000e+07 9.6329596571e+00
4.5289800000e+07 9.6503760295e+00
4.5291600000e+07 9.6451254188e+00
4.5293400000e+07 9.6371822241e+00
4.5295200000e+07 9.6231862546e+00
4.5297000000e+07 9.6206500978e+00
4.5298800000e+07 9.5905592993e+00
4.5300600000e+07 9.5703732371e+00
4.5302400000e+07 9.5882602221e+00
4.5304200000e+07 9.5969944732e+00
4.5306000000e+07 9.6082179971e+00
4.5307800000e+07 9.6250290276e+00
4.5309600000e+07 9.6505284644e+00
4.5311400000e+07 9.6537315913e+00
4.5313200000e+07 9.6640018561e+00
4.5315000000e+07 9.6539094401e+00
4.5316800000e+07 9.6167134837e+00
4.5318600000e+07 9.5928022994e+00
4.5320400000e+07 9.5881514002e+00
4.5322200000e+07 9.5789465154e+00
4.5324000000e+07 9.5831174033e+00
4.5325800000e+07 9.5769395700e+00
4.5327600000e+07 9.5726141886e+00
4.5329400000e+07 9.5650509693e+00
4.5331200000e+07 9.5512181289e+00
4.5333000000e+07 9.5505550619e+00
4.5334800000e+07 9.5507167752e+00
4.5336600000e+07 9.5517486631e+00
4.5338400000e+07 9.5497111466e+00
4.5340200000e+07 9.5384511275e+00
4.5342000000e+07 9.5344842273e+00
4.5343800000e+07 9.5149454813e+00
4.5345600000e+07 9.4735946125e+00
4.5347400000e+07 9.4603693934e+00
4.5349200000e+07 9.4854960550e+00
4.5351000000e+07 9.4999382731e+00
4.5352800000e+07 9.5141354950e+00
4.5354600000e+07 9.5286414326e+00
4.5356400000e+07 9.5081326497e+00
4.5358200000e+07 9.5122473168e+00
4.5360000000e+07 9.5089581512e+00
4.5361800000e+07 9.5107370341e+00
4.5363600000e+07 9.5077119528e+00
4.5365400000e+07 9.5249965560e+00
4.5367200000e+07 9.5459048480e+00
4.5369000000e+07 9.5489215962e+00
4.5370800000e+07 9.5594149060e+00
4.5372600000e+07 9.5557885755e+00
4.5374400000e+07 9.5473172592e+00
4.5376200000e+07 9.5315245102e+00
4.5378000000e+07 9.5263231711e+00
4.5379800000e+07 9.5363355554e+00
4.5381600000e+07 9.5411816472e+00
4.5383400000e+07 9.5232579026e+00
4.5385200000e+07 9.5353063203e+00
4.5387000000e+07 9.5242718150e+00
4.5388800000e+07 9.4880018374e+00
4.5390600000e+07 9.4855309911e+00
4.5392400000e+07 9.4791858129e+00
4.5394200000e+07 9.4640649343e+00
4.5396000000e+07 9.4610977779e+00
4.5397800000e+07 9.4464126381e+00
4.5399600000e+07 9.4421280890e+00
4.5401400000e+07 9.4347544538e+00
4.5403200000e+07 9.4269572221e+00
4.5405000000e+07 9.4393409409e+00
